step,true_x,true_y,gps_x,gps_y,localized_x,localized_y,true_heading,desired_heading,heading_error,desired_speed,active_segment,waypoint_index,true_cross_track,estimated_cross_track,true_waypoint_distance,estimated_waypoint_distance,localization_position_error
0,10.0,10.0,10.367954692508794,10.035039320099536,10.07359093850176,10.007007864019908,0.0,359.9375411975809,-0.06245880241908708,2.5,0,1,0.0,0.007007864019907828,20.0,19.926410293786418,0.07392385533568463
1,10.249999851457062,9.99972747211671,9.159198842880027,10.579088253110482,9.890712519377413,10.121423941838023,359.9375411975809,358.91791631922314,-1.0196248783577744,2.5,0,1,0.00027252788328979705,0.16336317538636394,19.75000015042323,20.109654068431308,0.3793381311383585
2,10.499955268021246,9.995006272033578,10.274077583384136,10.029368807664044,9.967385532178758,10.103012915003227,358.91791631922314,359.0819577526843,0.16404143346113642,2.5,0,1,0.004993727966422057,0.10805259908361675,19.500045371395714,20.03287932567404,0.5434114081070718
3,10.749923177202943,9.991000728458589,11.364676481958107,10.404916521755924,10.246843722134628,10.163393636353765,359.0819577526843,358.54403879520174,-0.5379189574825318,2.5,0,1,0.008999271541410891,0.16339363635376536,19.250078926344084,19.75383204388893,0.5317971914220566
4,10.999842464668605,9.98464858294264,11.325014320942579,9.59462280619249,10.462477841896218,10.04963947032151,358.54403879520174,359.5575882365806,1.0135494413788706,2.5,0,1,0.015351417057360095,0.049639470321510615,19.000163737015956,19.53758521812279,0.5412804755850728
5,11.249835011929429,9.982718216644585,10.77017949306359,9.919251769985062,10.524018172129693,10.023561930254221,359.5575882365806,359.7900010708949,0.23241283431428883,2.5,0,1,0.01728178335541486,0.023561930254221153,18.750172952266425,19.475996080408613,0.7269651256272895
6,11.499833332744908,9.98180192551145,11.659783685218544,9.205048736388797,10.751171274747463,9.859859291481136,359.7900010708949,1.2488310430353187,1.4588299721403928,2.5,0,1,0.018198074488550375,0.14014070851886373,18.50017561771054,19.249338864290674,0.7585281030253395
7,11.749773950730495,9.987250547445782,11.78198000241286,9.689214465808647,10.957333020280542,9.825730326346639,1.2488310430353187,1.5528289746562396,0.3039979316209269,2.5,0,1,0.012749452554217555,0.17426967365336132,18.250230502598473,19.043464380717417,0.8087344496658363
8,11.999682141696649,9.994025212605356,11.770999522954728,9.831366769756878,11.12006632081538,9.826857615028686,1.5528289746562396,1.5427891453751272,-0.010039829281112134,2.5,0,1,0.0059747873946438546,0.17314238497131385,18.00031884989927,18.88072758174015,0.8953597031496257
9,12.249591515937647,10.000756086729343,12.335138671944959,8.881856336045225,11.363080791041295,9.637857359231994,1.5427891453751272,3.2242525408799962,1.6814633955048635,2.5,0,1,0.0007560867293427975,0.3621426407680062,17.750408500165285,18.640437357892555,0.957912705717724
10,12.499195777496762,10.014817118395916,12.270171329205215,10.242417654893423,11.544498898674078,9.75876941836428,3.2242525408799962,2.1490019148747685,-1.0752506260052144,2.5,0,1,0.01481711839591604,0.24123058163572075,17.500810494985217,18.45707758813834,0.9884364193640711
11,12.74901994973843,10.02419170978782,12.892717840950306,9.855088947965607,11.814142687129324,9.778033324284545,2.1490019148747685,1.9775316270975818,-0.17147028777719697,2.5,0,1,0.024191709787819704,0.22196667571545525,17.25099701273364,18.187211864637746,0.9667416650259131
12,12.998871058716382,10.032818606245277,12.864908546284212,9.842442318352122,12.024295858960302,9.79091512309806,1.9775316270975818,1.8628492596267356,-0.11468236747083438,2.5,0,1,0.03281860624527688,0.20908487690194022,17.00116061741278,17.976920088044583,1.0041484527391151
13,13.248738934654195,10.040945387546953,13.262207379106366,8.673612496899267,12.271878162989514,9.567454597858301,1.8628492596267356,3.849335405122837,1.9864861454960874,2.5,0,1,0.04094538754695343,0.4325454021416988,16.751311107018807,17.733397852436568,1.0855645974041799
14,13.49817494271529,10.057728649522684,13.533392180733863,9.852832320572519,12.524180966538385,9.624530142401145,3.849335405122837,3.3426440134999846,-0.5066913916228657,2.5,0,1,0.05772864952268364,0.3754698575988549,16.501926033593936,17.479852073294687,1.065985559096007
15,13.747749616824734,10.072305413332396,13.33632846776962,10.480803768429109,12.686610466784632,9.795784867606738,3.3426440134999846,1.8194916057818407,-1.5231524077181575,2.5,0,1,0.07230541333239593,0.20421513239326217,16.252411223883605,17.314593871909032,1.0965764487514065
16,13.997623571029258,10.080243108854097,13.48430868140805,9.811571498096562,12.846150109709315,9.798942193704702,1.8194916057818407,1.7913793112740921,-0.02811229450773567,2.5,0,1,0.08024310885409669,0.20105780629529768,16.002577615215525,17.155028134634406,1.1853359595439674
17,14.247501389803336,10.08805820224503,13.463274962390468,10.191078061265697,12.969575080245546,9.877369367216902,1.7913793112740921,1.092834653392057,-0.6985446578820245,2.5,0,1,0.0880582022450298,0.12263063278309794,15.752744735798599,17.030866425977575,1.2951777630369903
