step,time,gps_available,true_x,true_y,gps_x,gps_y,localized_x,localized_y,localization_error,true_heading,measured_heading,localized_heading,desired_heading,heading_error,robot_speed,desired_speed,current_waypoint,active_segment,true_cross_track,estimated_cross_track,true_waypoint_distance,estimated_waypoint_distance
0,0.0,True,10.0,10.0,10.202013724537782,10.045544547651234,10.040402744907556,10.009108909530246,0.041416832675800784,0.0,356.07679784483946,357.63625242447495,359.91881528756886,-0.0811847124311953,0.0,2.5,1,0,0.0,0.009108909530246123,20.0,19.95959933359702
1,0.1,True,10.249999749034982,9.999645764984983,10.494216317481769,9.862094990283827,10.331075325096126,9.98570992500409,0.08226455293514581,359.91881528756886,4.45082359422139,1.7202202372122315,0.12736261029605106,0.2085473227272132,2.5,2.5,1,0,0.0003542350150169682,0.014290074995910729,19.750000254141785,19.668929865991334
2,0.2,True,10.499999131376411,10.000201488750719,10.717976010249263,9.832624679008983,10.608408238149561,9.950746916673538,0.11915657401372952,0.12736261029605106,356.7860985781779,358.7548764181126,0.43896822473323,0.31160561443718393,2.5,2.5,1,0,0.00020148875071868133,0.04925308332646239,19.500000869664554,19.391654311184567
3,0.30000000000000004,True,10.749991794202845,10.002116830221215,10.979916323330663,10.096649167351563,10.882458659007282,9.969906619737213,0.13632669559019148,0.43896822473323,356.0543051255252,357.1280649601669,0.2682106133587181,-0.17075761137451195,2.5,2.5,1,0,0.002116830221215338,0.030093380262787406,19.25000832218594,19.1175650263338
4,0.4,True,10.999989055052477,10.003287115520056,11.085801895965922,10.12092954670246,11.12308182717623,9.995846275968816,0.12331746284422784,0.2682106133587181,359.84986256430795,358.77809517542744,0.03702079470900165,-0.23118981864971033,2.5,2.5,1,0,0.0032871155200560054,0.00415372403118397,19.00001122929284,18.87691862982165
5,0.5,True,11.249989002866213,10.00344864919866,11.275134593651204,10.169217351085003,11.353131723757471,10.018514966753754,0.10423730041363727,0.03702079470900165,355.101770244265,356.5586017971141,359.83498254139045,-0.20203825331850567,2.5,2.5,1,0,0.0034486491986598367,0.01851496675375408,18.750011314285096,18.646877468239392
6,0.6000000000000001,True,11.499987965996386,10.002728625700087,11.364168089894576,9.939601046476675,11.555041372340003,9.991825245569807,0.056122733792117095,359.83498254139045,357.0631202111977,356.87384181884187,0.07285890499126878,0.23787636360083297,2.5,2.5,1,0,0.0027286257000866954,0.008174754430193332,18.50001223523046,18.444960439174135
7,0.7000000000000001,True,11.749987763866761,10.003046532559782,11.927870465710722,9.940399548658107,11.829606669394234,9.98108332648889,0.08259269058642693,0.07285890499126878,1.8466770625753979,359.8691421417576,0.16859771076427643,0.09573880577300997,2.5,2.5,1,0,0.003046532559782378,0.018916673511110815,18.250012490416918,18.170403177405262
8,0.8,True,11.99998668151661,10.003782177789187,11.880984066127926,9.842565330902877,12.039881563796284,9.95386343961417,0.06390212870550564,0.16859771076427643,0.288600541061943,0.1385734850615563,0.4111931923877889,0.24259548162351052,2.5,2.5,1,0,0.0037821777891871022,0.046136560385830805,18.00001371584056,17.96017769468523
9,0.9,True,12.249980243461112,10.00557633115512,12.499004025344512,9.770834189448792,12.331456085533478,9.92725387607626,0.11301645814208332,0.4111931923877889,4.704353414108319,2.8649188100239917,0.6483350190737966,0.23714182668601325,2.5,2.5,1,0,0.005576331155120684,0.07274612392373925,17.7500206324666,17.668693671462467
10,1.0,True,12.49996423833596,10.008405165970473,12.664970807033004,9.943300266704217,12.598158343135886,9.930987252024225,0.12504245525919375,0.6483350190737966,358.3498561711881,0.15014313820844905,0.6150646912976117,-0.03327032777619365,2.5,2.5,1,0,0.008405165970472694,0.0690127479757745,17.50003778014023,17.401978502743713
11,1.1,True,12.74994983370387,10.011088840420138,12.991320649366147,10.242778773845313,12.876732462706348,9.998176008384338,0.12743851948278825,0.6150646912976117,2.2092723802245535,1.3839571357740932,0.01625664734404608,-0.5988080439535679,2.5,2.5,1,0,0.011088840420137913,0.0018239916156623792,17.250053730412407,17.12326763444057
12,1.2000000000000002,True,12.999949823640886,10.01115977342456,13.041089508422981,10.133089893098337,13.109467286497813,10.032549014361923,0.11158662239934877,0.01625664734404608,2.5875208003312293,2.117626749916939,359.7099036333388,-0.3063530140052535,2.5,2.5,1,0,0.011159773424559205,0.0325490143619227,17.000053839305053,16.8905640753713
13,1.3,True,13.249946619228517,10.009893994646111,13.372228386629192,10.123841197871517,13.36197661606661,10.054949231284953,0.12075054674876241,359.7099036333388,0.5583985219649321,1.1866174571910602,359.51026718722215,-0.19963644611664222,2.5,2.5,1,0,0.009893994646111182,0.05494923128495266,16.750056302885202,16.63811412216941
14,1.4000000000000001,True,13.499937486921347,10.00775715815598,13.253997318343654,10.175465640913126,13.540290605223891,10.085056877622756,0.08719874303211826,359.51026718722215,2.1005392846701056,1.7203821962951062,359.24195977142796,-0.26830741579419737,2.5,2.5,1,0,0.007757158155980548,0.08505687762275649,16.50006433651112,16.45992916245121
